City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Carnarvon,0,AU,1579794362,78,-24.87,113.63,77,20.8
Hilo,20,US,1579794362,63,19.73,-155.09,66.2,8.05
George Town,20,MY,1579794069,79,5.41,100.34,84.2,6.93
Lata,40,PT,1579794362,76,40.16,-8.33,57,5.82
Mar del Plata,40,AR,1579794101,51,-38,-57.56,91.99,13.87
East London,75,ZA,1579794362,78,-33.02,27.91,71.6,11.41
Busselton,0,AU,1579794139,49,-33.65,115.33,62.01,13.22
Kapaa,1,US,1579794204,88,22.08,-159.32,69.8,5.82
Puerto Ayora,20,EC,1579794363,74,-0.74,-90.35,80.6,6.93
Jamestown,1,US,1579794363,50,42.1,-79.24,33.8,4.7
Powell,1,US,1579794363,64,40.16,-83.08,37,5.7
Bredasdorp,42,ZA,1579794200,56,-34.53,20.04,73.99,23.04
Saint-Pierre,100,RE,1579794363,83,-21.34,55.48,82.4,9.17
Bengkulu,99,ID,1579794363,95,-3.8,102.27,74.61,5.28
Gravdal,40,NO,1579794364,86,68.12,13.5,37.4,8.05
Bambous Virieux,75,MU,1579794364,74,-20.34,57.76,84.2,3.36
Longyearbyen,20,SJ,1579794220,60,78.22,15.64,6.8,39.15
Samarkand,75,UZ,1579794364,52,39.65,66.96,42.8,13.87
Ushuaia,75,AR,1579794364,66,-54.8,-68.3,57.2,3.36
Morehead,90,US,1579794364,51,37.27,-87.18,42.8,3.36
Nuuk,100,GL,1579794345,62,64.18,-51.72,23,34.45
Rikitea,0,PF,1579794365,79,-23.12,-134.97,78.84,18.57
Kuala Terengganu,20,MY,1579794365,83,5.33,103.14,80.6,4.7
Butaritari,32,KI,1579794365,71,3.07,172.79,84.07,8.37
Ilulissat,20,GL,1579794365,60,69.22,-51.1,6.8,24.16
Port Blair,84,IN,1579794365,77,11.67,92.75,80.73,13.71
Mataura,2,NZ,1579794365,92,-46.19,168.86,54,1.99
Takoradze,77,GH,1579794366,34,4.88,-1.76,97,4.74
Alofi,80,NU,1579794366,100,-19.06,-169.92,68,1.12
Zaysan,64,KZ,1579794366,70,47.47,84.87,12.79,1.39
Peterhead,74,GB,1579794366,71,57.51,-1.8,50,8.05
Hermanus,0,ZA,1579794366,63,-34.42,19.23,84,18.01
Guerrero Negro,0,MX,1579794366,81,27.98,-114.06,57.56,3.56
Arraial do Cabo,75,BR,1579794235,78,-22.97,-42.03,80.6,8.05
Cabo San Lucas,5,MX,1579794347,87,22.89,-109.91,63,4.7
Praia da Vitoria,40,PT,1579794367,72,38.73,-27.07,60.8,14.29
Alice Springs,50,AU,1579794367,23,-23.7,133.88,86,10.29
Kyzyl-Suu,53,KG,1579794367,67,42.34,78,20.41,7.65
Semenivka,67,UA,1579794367,61,52.18,32.58,29.41,13.44
Newport,90,GB,1579794367,93,51.59,-3,45,4.7
Lixouri,20,GR,1579794368,71,38.2,20.43,57.2,14.99
Chodavaram,20,IN,1579794368,94,17.83,82.95,71.6,2.24
Matagami,90,CA,1579794368,92,49.75,-77.63,17.6,8.05
Bengbu,100,CN,1579794368,80,32.94,117.36,45.28,8.61
Hobart,40,AU,1579794368,62,-42.88,147.33,55,14.99
Sandane,75,NO,1579794368,87,61.77,6.21,44.6,14.99
Albany,75,US,1579794368,68,42.6,-73.97,35.01,1.45
Mitsamiouli,90,KM,1579794422,94,-11.38,43.28,78.8,13.87
Provideniya,0,RU,1579794422,79,64.38,-173.3,-14.28,2.17
Barrow,1,US,1579794422,83,71.29,-156.79,-13,9.17
Tuktoyaktuk,20,CA,1579794422,76,69.45,-133.04,-11.2,10.29
Upernavik,94,GL,1579794422,87,72.79,-56.15,-4.9,4.85
Kodiak,90,US,1579794422,57,57.79,-152.41,23,16.11
Denia,4,ES,1579794422,84,38.84,0.11,57.99,2.08
Tessalit,100,ML,1579794422,9,20.2,1.01,90.45,6.58
Sambava,100,MG,1579794423,99,-14.27,50.17,75.45,1.74
San Cristobal,40,VE,1579794423,78,7.77,-72.22,78.8,4.7
San Quintin,0,MX,1579794423,89,30.48,-115.95,54.36,1.88
Kerouane,100,GN,1579794423,14,9.27,-9.02,95.92,7.49
Maiduguri,0,NG,1579794423,13,11.85,13.16,84.63,17.69
Clyde River,40,CA,1579794423,75,70.47,-68.59,-18.4,19.46
Media Luna,0,CU,1579794424,59,20.14,-77.44,67.32,12.59
Atuona,6,PF,1579794424,78,-9.8,-139.03,80.65,13.51
Cape Town,0,ZA,1579794290,35,-33.93,18.42,86,17.22
Paragominas,51,BR,1579794424,77,-2.97,-47.48,84.42,4.97
Saint George,1,US,1579794424,78,37.1,-113.58,34,0.83
Tasiilaq,20,GL,1579794424,56,65.61,-37.64,14,25.28
Narsaq,75,GL,1579794424,52,60.92,-46.05,15.8,5.82
Esperance,90,AU,1579794425,82,-33.87,121.9,62.6,6.93
Yellowknife,20,CA,1579794425,76,62.46,-114.35,-9,4.7
Atar,99,MR,1579794425,10,20.52,-13.05,87.89,3.13
Vaini,40,TO,1579794425,88,-21.2,-175.2,77,2.24
Nikolskoye,72,RU,1579794425,80,59.7,30.79,32,6.71
Bluff,5,NZ,1579794425,92,-46.6,168.33,54,1.99
Cernay,20,FR,1579794425,92,47.81,7.18,34,10.29
Cherskiy,100,RU,1579794425,100,68.75,161.3,-36.35,3.24
Cidreira,91,BR,1579794355,78,-30.18,-50.21,72.64,13.98
Haines Junction,100,CA,1579794426,96,60.75,-137.51,0.68,5.68
Jiazi,0,CN,1579794426,90,22.88,116.07,66.56,4.52
Sungaipenuh,90,ID,1579794426,98,-2.08,101.38,64.83,2.08
Saskylakh,0,RU,1579794426,92,71.92,114.08,-36.09,10.83
Punta Arenas,40,CL,1579794426,50,-53.15,-70.92,57.2,18.34
Provincia de Las Palmas,40,ES,1579794427,49,28.42,-14.01,69.8,9.17
Airai,57,TL,1579794427,92,-8.93,125.41,67.46,3.87
Stokmarknes,75,NO,1579794427,80,68.56,14.91,42.01,13.87
Arlit,85,NE,1579794427,6,18.74,7.39,88.32,8.97
Pacific Grove,40,US,1579794158,100,36.62,-121.92,52,2.13
Zhigansk,97,RU,1579794427,98,66.77,123.37,-27.06,5.97
Klaksvik,100,FO,1579794428,64,62.23,-6.59,39.2,27.51
Caravelas,100,BR,1579794428,81,-17.71,-39.25,78.85,20.42
Severo-Kuril'sk,89,RU,1579794428,87,50.68,156.12,12.29,6.53
Faanui,71,PF,1579794428,78,-16.48,-151.75,81.59,12.03
Fairbanks,90,US,1579794189,69,64.84,-147.72,-7.01,0.94
Kaitangata,0,NZ,1579794482,86,-46.28,169.85,56.95,6.51
Avarua,75,CK,1579794321,94,-21.21,-159.78,78.8,8.05
San Jose,20,US,1579794467,93,37.34,-121.89,51.01,4.7
Sovetskaya,100,RU,1579794482,10,44.78,41.17,30,13
Olga,0,RU,1579794482,61,43.74,135.29,29.01,29.75
Cozumel,20,MX,1579794483,64,20.51,-86.95,75.99,6.93
Tulun,98,RU,1579794483,91,54.56,100.58,1.11,3.4
Juneau,90,US,1579794483,96,58.3,-134.42,33.8,3.36
Saint-Philippe,100,RE,1579794483,83,-21.36,55.77,82.4,9.17
Yamada,90,JP,1579794483,86,39.47,141.95,39.09,4.94
Castro,100,BR,1579794483,96,-24.79,-50.01,62.04,4.54
Yen Bai,100,VN,1579794269,81,21.7,104.87,71.94,4.16
Makat,100,KZ,1579794484,92,47.65,53.35,32.68,14.2
Nishihara,75,JP,1579794484,88,26.18,127.76,69.8,2.24
Devils Lake,90,US,1579794484,100,48.11,-98.87,19.4,9.17
Khatanga,100,RU,1579794484,85,71.97,102.5,-28.05,9.46
Geraldton,0,AU,1579794484,77,-28.77,114.6,69.8,17.22
Terme,75,TR,1579794484,80,41.21,36.97,41,19.46
New Norfolk,40,AU,1579794484,62,-42.78,147.06,55,14.99
Honiara,20,SB,1579794485,94,-9.43,159.95,75.2,2.8
Dikson,100,RU,1579794485,97,73.51,80.55,-12.12,14.43
Saint-Augustin,100,CA,1579794485,90,51.23,-58.65,26.29,20.92
Rottingdean,75,GB,1579794485,87,50.81,-0.06,46,4.7
Pangnirtung,5,CA,1579794485,61,66.15,-65.71,-22,2.24
Puerto Baquerizo Moreno,75,EC,1579794485,88,-0.9,-89.6,77,11.41
Qaanaaq,100,GL,1579794486,91,77.48,-69.36,-5.67,3.2
Vila Velha,40,BR,1579794486,74,-20.33,-40.29,82.4,12.75
Apartado,40,CO,1579794486,83,7.88,-76.63,80.6,11.41
Carutapera,100,BR,1579794486,81,-1.2,-46.02,82.42,12.97
Kavieng,75,PG,1579794486,75,-2.57,150.8,82.83,10.04
Sept-Iles,90,CA,1579794486,85,50.2,-66.38,27,4.7
Valparaiso,40,CL,1579794486,72,-33.04,-71.63,68,6.93
Benidorm,40,ES,1579794487,82,38.54,-0.13,57.99,11.41
Orcopampa,100,PE,1579794487,95,-15.27,-72.34,38.41,5.01
Binga,8,ZW,1579794487,66,-17.62,27.34,82.76,8.99
Kargil,0,IN,1579794487,96,34.57,76.1,-16.28,4.09
Yudong,40,CN,1579794487,87,29.39,106.52,48.2,8.95
Mountain Home,90,US,1579794310,100,43.13,-115.69,37.99,3.36
Bethel,1,US,1579794488,59,41.37,-73.41,41,5.82
Actopan,50,MX,1579794488,75,20.27,-98.93,57.33,3.02
Tiksi,26,RU,1579794488,84,71.69,128.87,-28.59,3.6
Sao Joao da Barra,100,BR,1579794488,55,-21.64,-41.05,86,7.07
Springdale,90,US,1579794349,93,36.19,-94.13,37.4,6.93
Ribeira Grande,40,PT,1579794496,63,38.52,-28.7,60.8,12.75
Avera,40,US,1579794542,51,33.19,-82.53,44.01,9.17
Hithadhoo,94,MV,1579794497,80,-0.6,73.08,84.61,15.21
Purnia,0,IN,1579794542,58,25.78,87.47,59.11,8.79
Altay,64,CN,1579794542,77,47.87,88.12,7.18,4.79
Kahului,1,US,1579794412,82,20.89,-156.47,64.99,4.7
Acapulco de Juarez,75,MX,1579794542,83,16.86,-99.89,78.8,2.24
Ponta do Sol,40,PT,1579794542,52,32.67,-17.1,66.2,3.36
Along,87,IN,1579794542,95,28.17,94.77,45.95,4.81
Port Alfred,1,ZA,1579794417,82,-33.59,26.89,70,3
Adrar,100,MR,1579794533,12,20.5,-10.07,84.69,7.27
Los Llanos de Aridane,20,ES,1579794543,55,28.66,-17.92,66.2,5.82
Prince Rupert,100,CA,1579794543,83,54.32,-130.32,40.84,15.01
Port Moresby,55,PG,1579794498,72,-9.44,147.18,83.62,4.76
Sioux Lookout,90,CA,1579794543,85,50.1,-91.92,15.8,5.82
Tatarsk,100,RU,1579794544,94,55.22,75.98,30.25,20.78
Umm Lajj,0,SA,1579794544,19,25.02,37.27,62.69,13.22
Rosamorada,98,MX,1579794544,56,22.12,-105.21,67.8,2.24
Balkanabat,81,TM,1579794544,45,39.51,54.37,39.83,2.08
Kwang Binh,81,VN,1579794450,91,17.48,106.6,69.48,4.74
Nome,90,US,1579794324,71,64.5,-165.41,8.6,6.58
Lajas,90,PR,1579794545,74,18.05,-67.06,82,12.75
Cabedelo,75,BR,1579794545,79,-6.98,-34.83,84.2,9.17
Babai,0,IN,1579794545,49,22.7,77.93,62.01,6.73
Chokurdakh,60,RU,1579794545,93,70.63,147.92,-31.58,8.79
Basoko,100,CD,1579794545,17,1.24,23.62,94.32,3.51
Okha,0,RU,1579794545,96,53.57,142.95,-11.38,6.42
Forsytheganj,68,BY,1579794530,74,52.63,29.73,31.32,11.27
Buenos Aires,20,AR,1579794317,65,-34.61,-58.38,89.01,5.82
Naron,5,ES,1579794546,58,43.52,-8.15,57.2,3.36
Shenjiamen,100,CN,1579794546,90,29.96,122.3,52.07,21.45
Iralaya,75,HN,1579794546,88,15,-83.23,73.4,12.48
Vila,20,PT,1579794546,62,42.03,-8.16,57,2.24
Jacareacanga,75,BR,1579794546,79,-6.22,-57.75,86,1.12
Sitka,90,US,1579794546,65,57.05,-135.33,44.6,14.99
Chetwayi,20,IN,1579794547,48,10.53,76.05,87.8,5.82
Saint Anthony,90,US,1579794546,86,45.02,-93.22,32,6.93
Departamento de Maldonado,20,UY,1579794547,48,-34.67,-54.92,82.4,10.29
Lebu,20,CL,1579794502,54,-37.62,-73.65,70.88,6.67
Heihe,29,CN,1579794548,59,50.24,127.49,-0.4,11.18
Kirovskiy,41,RU,1579794548,81,45.09,133.51,5.49,9.84
Karasuk,100,RU,1579794548,92,53.74,78.04,27.52,22.39
Shakawe,100,BW,1579794548,43,-18.37,21.85,84.54,8.01
Pyu,46,MM,1579794548,32,18.48,96.43,65.59,1.54
Coquimbo,20,CL,1579794602,60,-29.95,-71.34,73.4,10.29
Kaeo,0,NZ,1579794602,100,-35.1,173.78,61,7.9
Monaragala,15,LK,1579794602,94,6.87,81.35,73.67,5.46
Constitucion,54,CL,1579794524,69,-35.33,-72.42,67.12,9.28
Maltahohe,0,NA,1579794602,14,-24.83,16.98,84.92,27.67
Norman Wells,75,CA,1579794502,83,65.28,-126.83,-5.8,2.24
Maceio,75,BR,1579794352,94,-9.67,-35.74,78.8,8.05
Venice,1,US,1579794596,72,27.1,-82.45,64.99,10.29
Ayodhya,26,IN,1579794603,64,26.8,82.2,55.71,11.54
Chui,28,UY,1579794545,52,-33.7,-53.46,79.77,10.36
Gampengrejo,100,ID,1579794603,90,-7.77,112.02,76.33,0.81
Murray,90,US,1579794603,100,40.67,-111.89,39,4.99
Staroshcherbinovskaya,81,RU,1579794603,65,46.63,38.67,34.27,11.14
Usinsk,92,RU,1579794603,96,65.99,57.53,8.04,4.83
Miandrivazo,100,MG,1579794604,69,-19.52,45.47,82.26,1.05
Concepcion del Oro,67,MX,1579794604,59,24.63,-101.42,52.5,3.53
Ancud,75,CL,1579794604,63,-41.87,-73.82,66.2,3.36
Cascais,40,PT,1579794604,76,38.7,-9.42,57,8.05
Hamilton,40,US,1579794380,51,39.18,-84.53,39.99,3.36
Qurayyat,75,SA,1579794604,46,31.33,37.34,53.6,16.11
General Pico,0,AR,1579794604,23,-35.66,-63.76,94.82,16.44
Suclayin,10,PH,1579794605,87,15.76,121.55,61.02,3.15
San Andres,20,CO,1579794341,61,12.58,-81.7,82.4,11.41
San Luis,32,AR,1579794605,28,-33.3,-66.34,92.55,25.41
Burriana,75,ES,1579794605,81,39.89,-0.09,57,4.7
Luorong,100,CN,1579794605,82,24.41,109.61,62.31,4.43
Ostrovnoy,96,RU,1579794606,93,68.05,39.51,19.9,10.8
Constantine,0,DZ,1579794510,51,36.37,6.61,59,13.87
Vilyuysk,26,RU,1579794606,97,63.76,121.62,-44.54,3.2
Nanortalik,100,GL,1579794517,61,60.14,-45.24,22.95,4.23
Okhotsk,96,RU,1579794606,86,59.38,143.3,-16.8,5.99
Port Elizabeth,20,ZA,1579794606,73,-33.92,25.57,71.6,17.22
Torbay,40,CA,1579794607,73,47.67,-52.73,21,14.99
Anadyr,75,RU,1579794607,75,64.75,177.48,-20,11.18
Walvis Bay,15,NA,1579794607,50,-22.96,14.51,78.8,14.99
Minbu,42,MM,1579794607,36,20.18,94.88,70.9,6.4
Henties Bay,0,NA,1579794607,83,-22.12,14.28,72,5.99
Aviles,20,ES,1579794607,81,43.55,-5.92,54,6.93
Montepuez,99,MZ,1579794607,91,-13.13,39,76.78,4.14
Belize,66,BZ,1579794608,73,17.25,-88.75,75,1.79
Morondava,100,MG,1579794608,85,-20.28,44.28,81.79,3.31
Luderitz,0,NA,1579794608,84,-26.65,15.16,67.55,5.21
Saldanha,0,ZA,1579794506,29,-33.01,17.94,87.8,21.92
Whitecourt,75,CA,1579794378,92,54.15,-115.69,14,4.7
Tabou,86,CI,1579794662,52,4.42,-7.35,91.54,5.75
Katsuura,75,JP,1579794532,81,35.13,140.3,50,12.75
Leshukonskoye,100,RU,1579794662,92,64.9,45.76,11.82,9.28
Qeshm,75,IR,1579794662,82,26.96,56.27,71.6,4.7
Oliveira de Azemeis,39,PT,1579794588,62,40.84,-8.48,60.01,12.75
Mossamedes,75,AO,1579794662,74,-15.2,12.15,78.8,13.87
Makakilo City,1,US,1579794663,100,21.35,-158.09,66.99,2.59
Hasaki,75,JP,1579794663,100,35.73,140.83,46.4,8.05
Hervey Bay,75,AU,1579794663,94,-25.3,152.85,79,10.29
Ravar,98,IR,1579794663,81,31.27,56.81,46.31,4.41
High Level,90,CA,1579794663,100,58.52,-117.14,10.4,5.08
Tomohon,40,ID,1579794664,100,1.33,124.84,73.4,1.12
Mahebourg,75,MU,1579794664,74,-20.41,57.7,84.2,3.36
Pevek,100,RU,1579794664,99,69.7,170.31,-26.01,3.71
Sao Filipe,3,CV,1579794664,66,14.9,-24.5,74.95,13.13
Harindanga,40,IN,1579794665,72,22.04,88.32,66.2,3.36
Kavaratti,0,IN,1579794665,70,10.57,72.64,83.34,6.64
Isangel,39,VU,1579794665,79,-19.55,169.27,75.61,12.3
Ambilobe,100,MG,1579794665,90,-13.2,49.05,77.54,17.4
Hong Kong,20,HK,1579794542,78,22.29,114.16,71.6,5.82
Caibarien,40,CU,1579794665,68,22.52,-79.47,64.4,5.82
Naze,100,JP,1579794666,100,28.37,129.48,66.2,3.36
Karasburg,0,NA,1579794666,9,-28.02,18.75,92.16,13.11
Kemin,13,KG,1579794518,43,42.78,75.69,21.58,10.36
Hofn,20,IS,1579794503,55,64.25,-15.21,33.8,27.51
Verkhnyaya Inta,95,RU,1579794666,91,65.98,60.31,8.96,3.24
Hurricane,1,US,1579794666,78,37.18,-113.29,34,0.83
Millinocket,1,US,1579794617,50,45.66,-68.71,33.8,3.36
Puerto Madryn,54,AR,1579794666,12,-42.77,-65.04,86.9,12.44
Fortuna,90,US,1579794667,81,40.6,-124.16,57,4.99
Wellington,100,NZ,1579794667,100,-41.29,174.78,64,1.12
Malindi,75,KE,1579794667,79,-3.22,40.12,84.2,11.41
Vila Franca do Campo,40,PT,1579794529,82,37.72,-25.43,55.4,14.99
Sabha,90,LY,1579794667,18,27.04,14.43,66.58,8.79
Kamenka,88,RU,1579794667,89,51.32,42.77,27,8.99
Tocopilla,94,CL,1579794615,57,-22.09,-70.2,69.12,9.93
Malanje,37,AO,1579794668,87,-9.54,16.34,74.8,6.87
Namie,36,JP,1579794668,94,37.48,141,41,1.01
Vao,26,NC,1579794668,70,-22.67,167.48,77.9,13.31
Te Anau,4,NZ,1579794668,76,-45.42,167.72,52.88,3.71
Vaasa,100,FI,1579794668,81,63.08,21.67,33.8,16.11
Casper,1,US,1579794628,67,42.87,-106.31,27,10.29
Roald,75,NO,1579794668,70,62.58,6.13,45,25.28
Araouane,96,ML,1579794669,9,18.9,-3.53,92.44,10.71
Verkhoyansk,84,RU,1579794722,98,67.54,133.38,-37.48,1.9
Codrington,95,AU,1579794722,70,-38.27,141.97,60.33,28.05
Aswan,0,EG,1579794722,22,24.09,32.91,62.4,9.42
Katherine,75,AU,1579794722,83,-14.47,132.27,82.4,6.93
Labuhan,59,ID,1579794722,85,-6.88,112.21,78.46,2.35
Mitchell,90,US,1579794722,92,43.71,-98.03,24.01,13.87
Jieshi,0,CN,1579794722,90,22.81,115.83,66.56,4.52
Fort Nelson,90,CA,1579794722,84,58.81,-122.7,3.2,5.82
